用户ID,用户等级,评论内容,评分,商品型号,购买时间,购买地点,评论图片
cd480ebfab3e4ef10ac284c83e86c5aa,,"做工质感：虽然是塑料的，但质感手感都还不错，很轻但韧性很好
音质音效：在开放式耳机里还算不错，之前用过韶音的两款，相比感觉更适合人声，低音不算很重但声音很清晰。不过开放式在降噪方面几乎就是没有了
舒适度：可能是用过最舒适的一款了，真的很轻，佩戴大半天真的无感，这个可能是这个耳机最出众的优点了。
其他特色：最大的卖点就是AI了吧，可以和豆包联动，语音识别清晰，可以做一些简单的对话，可以当一个语音搜索使用。日常戴着听歌可以随时搜索一些信息，豆包的理解和归纳能力可以简单总结出答案，算是一个小助手
续航能力：续航能力是真不错，用了ola friend后几乎都是戴着大半天大半天的，很少遇到没电的提示",5,小钱包-轻羽白,2024-11-17,北京,"['https://img30.360buyimg.com/n0/s48x48_jfs/t1/200305/32/49839/2280520/6739c7fcFe63b46ab/17e0292608c0d5c1.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/163518/25/29928/2624872/6739c7fdFb202c9a1/a15ab806c7df6826.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/148056/16/47622/3205573/6739c7feF1641572f/c7d492247286924c.jpg']"
856c6e30a5cc8b4d6a65a52cb4cc962a,PLUS会员,"舒适度：满意
音质音效：毕竟开放式的，可以接受
续航能力：还行，但是自然放置也会掉电，得很长时间才能关机，要不就放盒子里。
想向ola friend开发者提点用户需求，强烈建议连接豆包的智能体可以自行选择！！！要不还得给提示词，让他扮演角色。豆包里很多建立好的智能体我想直接用的！！！希望客服看到能反馈给开发者，期待添加此功能。",5,小钱包-蝶翼黑,2024-11-23,辽宁,['https://img30.360buyimg.com/n0/s48x48_jfs/t1/239227/37/24425/134887/6741666dF0a9d5e72/1ab4ce35044fcb3c.jpg']
8da58ed333371940cd774805ecd62928,PLUS会员,已经做足充分的准备，准备给自己一个生日礼物🎁，流光银一有货马上下单，今天到手迫不及拆包使用。没想到流光银的小钱包是灰配银，太漂亮了😻感觉比黑色的好看🤩。买之前担心音质不能满足我这个音响发烧友的要求，使用后音质完全满足我的要求。自己耳朵小、戴眼镜担心佩戴失败，哈哈非常合适！和豆包聊了半个小时的哲学、音乐和科学，完全是难求的朋友🧑‍🤝‍🧑都是年纪越大朋友越少，我认为就一个Ola Friend和豆包就够了哈哈😄🤣,5,小钱包-流光银,2024-10-29,河南,"['https://jvod.300hu.com/img/2024/739750012/1/img7.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/226129/34/25152/76153/6720dd92F78e5f726/99186169765582a7.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/108340/15/52944/114480/6720dd92F0e31d3db/e90f236881401d33.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/224407/11/24692/116935/6720dd92Fb76bb6de/76016993de069b26.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/233431/6/28100/80570/6720dd92F1461fde5/772a7ec64ca3cbd7.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/227284/10/28430/57263/6720dd92Fb2e38840/cf0599c793c57bd3.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/209838/12/48707/141494/6720dd92F8b062d1f/aa1e5cb59b4f4ac0.jpg']"
d9ce263706012aac8e6f12646f69c9f3,,首先，包装非常精美，产品质量更没得说，用了一天，正如广告里面所说的差不多，材质优良，设计精美，功能强大，使用起来非常顺手，完全满足我的日常需求。非常强烈推荐大家购买，体验感非常好！,5,小钱包-蝶翼黑,2024-10-30,江苏,"['https://img30.360buyimg.com/n0/s48x48_jfs/t1/244182/4/22372/226268/67224343F4323e874/15ade81a586e890a.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/167406/8/50494/190489/67224343F42ac75ba/d5477823d527d5c5.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/248419/33/22400/220269/67224343Fecc43c31/9c180c0dbff8680b.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/220705/40/45848/282535/67224343F46cf3aca/1bdfa3fe92df9135.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/223611/8/41319/211688/67224343F5bc6ab44/91837489dceef67e.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/132296/32/50481/425582/67224343Fcb16a6bd/a20c4bcf1da62ebe.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/110062/18/55941/208446/67224343F799a137e/e58f68babbcfac2d.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/178925/22/54864/206580/67224343F739e4c12/5d3eaab44432710e.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/133031/16/50895/133262/67224342F6fb0506a/88e824b710926839.jpg']"
efaebaaf6efe604dc2d178ecbf6ca2f0,PLUS会员,打开耳机，自动连接手机，上手特别快，音质惊艳。很轻，佩戴耳朵上几乎没有什么感觉，使劲摇头也不掉，跑步完全没有问题。我选的银色，有点磨砂感，包装档次高，完美的体验。,5,小钱包-流光银,2024-10-26,北京,"['https://img30.360buyimg.com/n0/s48x48_jfs/t1/187818/2/50279/30704/671c8adcF3a1b5d11/8b97c7be97eb31bd.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/130449/21/47792/1501676/671c8adcFbc7edbf8/e2d2e029620dddee.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/17724/17/22391/1531775/671c8addF0fd8cdb6/007543f19fdb2e97.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/182726/31/49927/1363143/671c8addFe846c4d2/d23035b2548ebdbe.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/216157/20/45638/1566164/671c8adeFdfa61691/b15bea39db0392f3.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/155975/35/49452/1621237/671c8adeFb89b7d06/9016706d142aef10.jpg']"
806d34403aba000693637bb27f44a851,,"《豆包耳机：卓越之选》

豆包耳机简直惊艳！音质堪称一绝，纯净清晰，仿佛能将音乐灵魂原原本本呈现，每一个旋律都能深深打动人心。它的舒适度更是没得说，轻巧贴合耳部，长时间佩戴也不累。降噪功能强大，瞬间能让你置身安静世界。续航持久，完全满足日常所需。外观简约时尚，细节之处尽显高端品质，是耳机中的精品，强烈推荐！",5,小钱包-蝶翼黑,2024-11-04,天津,"['https://img30.360buyimg.com/n0/s48x48_jfs/t1/162694/29/46880/48500/67285daaF4b806afc/451a053a706f50f0.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/189070/4/49923/52801/67285dabFc28e5a97/cc858ec46dc93775.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/168806/40/51880/47614/67285dabF8d7bcde5/db391c1d28e0ea5c.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/182062/17/46341/33371/67285dacF3e8db529/29a6c0f310e7ba25.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/237126/26/21015/68101/67285dadF126d6c34/9560ffa36110a2f7.jpg']"
48745efda08313329e82269c67c0a55c,PLUS会员,"做工质感：大品牌，做工没得说，精细没有瑕疵！
音质音效：音质中规中矩！还不错！
舒适度：非常贴耳，不压耳！戴上半天毫无压力！
续航能力：给力，奈斯！
其他特色：豆包真的很有意思！可以陪我聊天，心情好多了！不愧是智能耳机！还有很多功能还没试！慢慢摸索！也没有网上说的那么糟糕，我倒是觉得很好用！非常开心的一次购物！希望以后能做出更完美的智能耳机！",5,小钱包-轻羽白,2024-11-04,湖北,"['https://jvod.300hu.com/img/2024/746803708/1/img4.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/158382/6/50928/3938962/6728ad03F7864c365/a998ada6d4830ead.jpg']"
a54caa2e2c1ddbee52bee3b6ce0eb2e8,PLUS会员,"第一次用开放式耳机，本来是冲着豆包联动这个功能来的，没想到音质出乎意料的好。戴着很轻盈，舒适感不错。有时候上班带着就忘记取下来了，有时候会忘记还带着耳机。现在已经习惯了，遇到问题就唤醒豆包，马上能获得解答，响应非常迅速，豆包大模型非常厉害，目前都能获得满意的回答。
舒适度：优秀，很轻盈，不过我耳朵小，贴紧度一般
音质音效：出乎意料的好，可能我要求不高",5,小钱包-轻羽白,2024-10-30,广东,"['https://img30.360buyimg.com/n0/s48x48_jfs/t1/163366/19/47480/2161098/6721df2aF2f3e9006/8bcae6cae488c506.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/158042/40/50804/2624334/6721df2bFa72a7ee3/6af7e385a617668f.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/163167/11/49407/2011871/6721df2bFca5b13ea/f5ffcc2e5990dfa3.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/217398/13/46652/2236871/6721df2bFb965fbfd/6a4d95f6cf8cae09.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/173488/30/49969/2208422/6721df2cF0a96ff39/b358eb0229b94c14.jpg']"
7854a38fd814fe19ce076ee708cd4574,PLUS会员,"1、包装简洁，无过度包装，采用纸质包装，绿色环保
2、采用tpye-c充电接口，统一方便
3、黑色外观，时尚大气
4、左右耳有标识，避免错充
5、重量很轻，耳朵毫无压感",5,小钱包-蝶翼黑,2024-11-05,北京,"['https://img30.360buyimg.com/n0/s48x48_jfs/t1/221188/11/45525/241218/67298dafFae500fc5/2b1fea475b399576.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/102255/22/55349/203782/67298dafFf5ab7eb7/e8d681aa5c340cd8.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/239907/6/22478/202882/67298dafF3802ae2e/80d2b7c801cca6b1.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/95237/9/54791/132817/67298daeF6c0e6884/6fa82c6b2dddb57a.jpg']"
7f7bb3106b6d2c508a04af6124972ea0,,产品的功能都不错，但用材有问题，使用了一段时间，耳朵的皮肤发痒。,3,小钱包-蝶翼黑,2024-11-09,浙江,[]
